smiles,cluster_index
NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21,1
CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CN=C21,1
C1C(C2=CC=CC=C12)C1=NC=CC=C1,1
SC1=NNC(S1)C1=NC=CC=C1,1
CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,1
CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12,1
BrC1=CN2CC3=C(C=CC=C3)C(=N)N=C2C=C1,1
CC1=CC(N=C2N(CC3=CC=CC=C23)C2=NOC(C)=C2)=NO1,1
CN1CCCN(CC1)C1=C(CO)C=C2C=CC=CC2=N1,1
CN1CCN(CC1)C1=C(CO)C=C(Br)C=N1,1
BrC1=CC2=C(N3CN(C2)C2=C(C3)C=C(Br)C=C2Br)C(Br)=C1,1
NN1C(SCC=C)=NN=C1C1=C(O)C(Br)=CC(Br)=C1,1
CN1CCCN=C1C=CC1=CC=CS1,1
CN1CCCN=C1C=CC1=C(C)C=CS1,1
OC(=O)CC1=C(N2CCN=C2S1)C1=CC=CS1,1
NC1=CC2=C(SC3=NCCN23)C=C1,1
C1OC(=NC1C1=CC=CC=C1)C1=CC=CC(=N1)C1=NC(CO1)C1=CC=CC=C1,1
C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,1
C1N=CC=NC1C1=CC=C(C=C1)C1CN=CC=N1,1
BrCC1CSC2=NN=C(N12)C1=CC=CC=C1,1
BrC1CSC2=NC3=C(C=CC=C3)N2C1C1=CC=CC=C1,1
CCN1C(C)=CSC1=NC1=CC=C(Cl)C=C1,1
CC1=CSC(=NC2=CC=CC=C2)N1C1CCCC1,1
CC(C)N1C(SCN(C1=O)C1=CC=CC=C1)=NC(C)(C)C,1
FC(F)(F)N=C1/SC(=N/C2=CC=CC=C2)N(/C/1=N/C(F)(F)F)C1=CC=CC=C1,1
C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12,1
CN1CCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1,1
OC1CN2CCC1CC2,1
C1CN2CCC1C(C2)N1C2=CC=CC=C2CCC2=C1C=CC=C2,1
CN1CCC(CC1)N(CC1=CC=CS1)C1=CC=CC=C1,1
CN1CCC(CC1)N(CC1=CC=CC=C1)C1=CC=CC=C1,1
CNCCC1CCN(CC1)C1CCN(C)CC1,1
CN1CCC(CCCC2CCN(C)CC2)CC1,1
CN1CCN(CC1)C1=NC2=C(CC3=C1C=CC=C3)C=CC=C2,1
CN1CCN(CC1)C1=NC2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,1
CN1CCN(CC1)C1=C(Cl)C(=O)C2=CC=CC=C2C1=O,1
ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1,1
CN1CCN(CC1)C1=NC2=C(OC3=C1C=C(Cl)C=C3)C=CC=C2,1
