smiles,mp,db,db_index,train/test
C1=CC=C(C=C1)C#CC1=CC=C(C=C1)C#CC1=CC=CC=C1,450.15,OCHEM,18517,True
O=C=NC1=CC=CS1,382.15,OCHEM,1813,True
CC1=C2NC(=O)C=CC2=C(Cl)C=C1,528.15,Enamine,7196,False
OC(=O)C1=C(O)C2=CC=CC=C2C=C1,475.15,OCHEM,934,True
CCC1=CC=C(CCl)C=C1,252.15,OCHEM,5573,True
NNC(=O)CN1CCCC1=O,373.15,Enamine,3188,True
OC(=O)C1=CC=C(NS(=O)(=O)C2=CC=C(Br)C=C2)C=C1,541.15,Enamine,158,True
O=C1NC2=C(C=CC=C2)S(=O)(=O)N1,575.15,Enamine,3306,True
FC1=C(I)C=CC(=N1)C(F)(F)F,322.15,Enamine,5618,True
COC1=CC=C(C=C1)C1=NN=C(S)N1CCC(O)=O,290.15,Enamine,8122,True
O=C1C=C(OC2=C1C=CC=C2)C1=CC=CC=C1,371.65,Bradley,2290,True
CCCCN1C(=O)NC(=O)C(NCC)=C1N,559.15,Enamine,2104,True
COC1=C(OC)C=C(C=C1)C(=O)O[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@]24O[C@]13O,453.15,OCHEM,7322,True
COC1=CC(=CC(OC)=C1OC)C(=O)NCCCCCC(O)=O,394.15,Bergstrom,46,True
SCCCCCS,201.15,OCHEM,601,True
COC1=CC(NCC2=NN=C3CCCCCN23)=CC=C1,451.15,Enamine,952,True
CN(C)CCC=C1C2=CC=CC=C2COC2=CC=C(CC(O)=O)C=C12,521.15,OCHEM,16869,True
OC(=O)C1=C(Cl)C=CC(Br)=C1,432.65,OCHEM,20695,True
COC1=CC(C)=C(OC)C=C1I,358.15,OCHEM,5830,True
OC(=O)CCSCCC(O)=O,403.15,Bradley,1784,True
CC(C)CBr,155.15,Bradley,1956,True
CO[C@]1(CBr)O[C@H](COC(=O)C2=CC=C(C)C=C2)[C@@H](OC(=O)C2=CC=C(C)C=C2)[C@@H]1OC(=O)C1=CC=C(C)C=C1,421.15,OCHEM,12149,True
SC1=NN2C=CC=NC2=N1,508.15,Enamine,9750,False
CC(=O)C1=CC(=CC=C1)S(=O)(=O)NCCC(O)=O,381.15,Enamine,1781,True
COC(=O)C1=CC=C(CC(CC2=CC=C(C=C2)C(=O)OC)(C#N)C2=CC=C(CC(C)C)C=C2)C=C1,388.15,OCHEM,17475,True
CN1N=C(C)C(OCC(O)=O)=C1C,446.15,Enamine,4339,True
CC(C)(O)C#CC1=CC=C(C=NO)C=C1,383.15,OCHEM,5062,True
COC1=CC=C(C=C1)N1CCCNC(=O)C1,446.15,Enamine,11411,True
NC1=CC(F)=C(C=C1)S(N)(=O)=O,426.15,Enamine,6875,True
NC(=O)C1=CC=CC=C1O,414.15,Bradley,2098,True
CSC1=NC=C(C=C1)C(O)=O,456.15,Enamine,17369,True
ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,350.15,OCHEM,9937,True
CN(C)C(C)(C)C,183.15,OCHEM,5493,True
OC(=O)C=CC1=CC=C(OCC#N)C=C1,488.15,Enamine,8136,False
CC1=C(C)C(C)=C2C(=O)NSC2=N1,510.15,Enamine,21736,True
OC(=O)CCCNC(=O)OCC1=CC=CC=C1,335.15,Enamine,13758,False
NC1=CC=CC=C1SC(=O)C1=CC=CC=C1,378.15,OCHEM,14136,True
OC(=O)C=CC1=CC=C(F)C=C1,481.15,OCHEM,1029,True
CC1=CC(Cl)=CC=C1OCCCC(O)=O,373.15,OCHEM,7658,True
FC1=CC(NC(=O)NCC2CCCNC2)=CC=C1,397.15,Enamine,16998,False
OC(=O)CCCCCBr,307.65,Bradley,1014,True
IC1=CC2=C(C=C1)N=CNC2=O,546.15,Enamine,19404,True
CC1=CC(C=O)=CC(C)=C1OC(F)F,330.15,Enamine,3115,True
CN1CCCC2=C1C=C(C=C2)S(Cl)(=O)=O,338.15,Enamine,3678,True
OCC1CNC2=C(C1)C=CC=C2,353.15,Enamine,13794,False
OC(=O)C1=C(I)C=C(Cl)C=C1,431.15,Enamine,11845,True
[O-][N+](=O)C1=CN=CN1CCN1CCOCC1,383.15,OCHEM,10804,True
CN(C)C1=C(C=CC=C1)N(C)C,282.05,OCHEM,9430,True
FC1=C(F)C(F)=C(C(F)=C1F)C1=C(F)C(F)=C(F)C(F)=C1F,340.65,Bradley,1320,True
OC(=O)CSC1=NN=C(C2CC2)N1CC1=CC=CC=C1,468.15,Enamine,4260,True
OC1=C(F)C=C(Cl)C=C1,293.15,OCHEM,5534,True
ClCCC(=O)C1=CC=C(Cl)C=C1,323.15,OCHEM,19635,True
CCC1=NC(=S)NC(N)=N1,513.15,Enamine,6585,True
