isosmiles,valid
C1CCN2(CCS(=O)(=O)CC2)C1=O,False
CC=CCN1C(=O)C2CC2C1=O,True
C(=O)CN1CCSC2(CCOCC2)C1=O,True
C12CC(CCN3CCCC4(CC4)CC3)C1CCC21C2CC1(Cl)C2(Cl)Cl,True
CC1CCCCN1C(=O1)CC2CC2C1=O,False
C1CCCCCC1SC1COC1(O)C1CC1(Cl)Cl,True
C(=O)OC1CNC(=O)NCC2CCN(C2)C2CC22CCOCC2C1=O,True
C1CCCN2(C1)C1CC3CCC1C3(Br)C2Cl,False
CS(=O)(=O)CC1CCCS1(=O)=O,True
C(Cc1ccccc1)=NNc1ccccc1C(=O)OC1Cc2ccccc2C=N1c1ccccc1Cl,False
CS(=O)(=O)[C@@H]1CCC2C[C@H]1OCCN2CC(F)F,True
C(=C)CN1C2CC3CCCCC131C#NC3C4C3CC2C14Cl,False
C1C(CNCCC2(C3C2)C3)CCOC1=O,True
CCC(=O)NCCN1CCCCCC1=O,True
CC(=O)NCC1=CC2CCC1C2(Cl)Cl,True
CC(=O)N1CC2CCCC12C(=O)NCC1C2COCC12C1CC1C(F)(F)F,True
Cc1nc(Br)cc(SCC(N)=O)c1c1ccc(Cl)cc1Cl,True
C[C@H]1OCCN1C(=O)CSCC1#NCCCC1=O,False
CCNS(=O)(=O)CC1CCCCO1,True
CC1CCCCN1C(=O)CN1CCCC1=O,True
CCNS(=O)(=O)CC1CC2CCC1C21CC11C2C11CC1C2(F)F,True
C(CCl)(CCl)CCl,True
C1CCC(C1)N1C(=O)CCCC1=O,True
C1CC2(CCC3CC4CC3)C22CCC2C14CN1CCOCC1=O,False
C1C2CN(CC1)S(=O)(=O)CC13CC1C1CC1CC3C2=O,True
CC1(CN2CCOCC2)CCC11CC1(Cl)Cl,True
CC1(CN2C(=O)C=CC2=O)CCOCC11CC2OCC1O2,True
C1(CCCCC1)C1CCCCCC1=O,True
C(c1ccc(Br)cc1)=C(NC(O)=O)C(Cl)(Cl)Cl,True
C1C2CN(CC22CC2)S(=O)(=O)CC2#NCCC2C1=O,False
C[C@H]C1[C@H](CC=CCl)[C@H]1C(=O)N[C@@H]1COC[C@H]1OC1COC1(Cl)CCl,True
C1C2CCCN21C1CCCC2C=C12,False
CCC12CCC(CC1)N2C1C2C1C1CCC2C1(C)CC1CC1(Cl)Cl,True
C1CC2CCC(C1)N2C1C2CCC1O2,True
C(=C)CNS(=O)(=O)CBr,True
CCCN1CCC2C3CCCC12C1CC2CC1C=C2C3N1CCC1(Cl)Cl,True
CC1(CNC1)C1CC2CCC1O2,True
CCC1(CCNCC1)C1#NCCCCC1=O,False
c12n[nH]c(-c3ccccn3)n1N2c1ccccc1Cl,False
CCCNC1CCC2(CC1)OCCO2,True
C1CCC2CN3C4CC1C3C24Cl,True
CCNC1CCC2(CCCC2)CC1=O,True
CCC(=O1)N2CCCC3(CCC=CC3)C22C#NC11CC1C2=O,False
S(=O)(=O)C1CCCC11C2COCC12C=CCl,True
CC1(CCC2C1)C1CCC3CCCC13C#NC2(Cl)Cl,False
C(=O)CCCNC(=O)C1=COCCO1,True
C(C1N2CCOCC(C2)C2CC22)C#NC3CC12C#NC3(F)F,False
C1=C2(C#N)C3C4C=CC5=CC=C(Cl)CC5=C4COC13CO2,False
CC1(CCCCC1)OCCC1CCC1=O,True
CC=CCO[C@H]12CC[C@H]3CNC[C@H]13C2=O,False
C1=C(CC2C1)C(=O)CS2(=O)=O,True
C1CC(=O)N2CCC(CN34CCCC3)CC2C23CC2C13C1CC11CC2C1C4OCC2C1OCCO1,False
CC12(CN3CCC(F)(F)CC3=O)CC11C3C1CC21CC1C1(Cl)CC1C3OCC1CC1Cl,False
C(=C)CSC12=NCCCN1CC2=O,False
CCCCC(=O)N1CCOC2CCCCC2C1=O,True
C1CCC(CC1)NC12CCCC1C#NC2=O,False
CCO1C2CCOC3(CCCC3)C22C3CC3C11CC1C2(F)F,False
C1CCN(CCC2CCCCC2)C1=O,True
CCOCCOC1CS(=O2)(=O)CC3=CCC4C3C12COC4OCC1OCCS1(=O)=O,False
CS(=O)(=O)NC12CCCSC1C#N2OCCOCC1CC1C1COCC11OCCO1,False
