isosmiles,valid
CCNC(=O)CCS(C)(=O)=O,True
C1=NCCN1C(=O)C1CCN(CC1)C(=O)C1CC11CC11CC1C(O)=O,True
CC1(CC2CCCO2)CCOC1=O,True
CC1(COC2CCCCCC2)C2COCC12C1=C2CCC1C1C2C(Br)C(Cl)=C1Cl,True
CCC1CSCCN1S(=O)(=O)CC=CCl,True
CCOC12CCOC3(CCCC3)C1C2=O,True
C1=CCCCCCC1OC1C2COCC11CC1CO2,True
CCCCCC(=O)N1CCCC(C1)C(F)(F)F,True
CC1(CCCCC1)NC(=O)C1COCCO1,True
CC=C1CNC2=NCCN2C1=O,True
CCOCCOCCOCCOCCOC1COCCOCC2OCCOCCOCC1OCCO2,True
c1cccc(N2CCNC2=O)c1Cl,True
CC1CCCN(CC1)S(=O)(=O)C1CC1C1CC2CCC1C2=O,True
CCN1CCN(CC1)C(=O)C1C2CC3CCC2C3C1=O,True
CC1CN(CCO1)C(=O)C1C2CCCC12C(=O)N1C2COCC12C1CC1(F)F,True
CCSCCN1CCCCC1=O,True
CC1CCCN(CC2CCCC2)C1=O,True
C1CCCN(CC1)C(=O)C1C2CCOC2C11CCC1=O,True
C1CCN(CC1)C(=O)NCC1CC2OCC1C2=O,True
CCC1CCNCC1F,True
